Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.01.2020;9007.6;10037 .3;10290 .1;8967 .3;;-10,26%
01.12.2019;10037.3;9464 .1;10101 .6;9265 .7;;6,26%
01.11.2019;9445.8;9488 .7;9952 .7;9421 .5;;0,24%
01.10.2019;9423.4;9566 .5;9734 .7;9034 .2;;-1,48%
01.09.2019;9565;9093 .9;10035 .5;8.964,00;;4,67%
01.08.2019;9138.4;9891 .3;9891 .3;8847 .8;;-8,37%
01.07.2019;9973;10334 .7;10518 .1;9891 .8;;-3,50%
01.06.2019;10334.7;9751 .3;10.413,00;9.719,00;;6,77%
01.05.2019;9679.3;10692 .1;10712 .7;9664 .3;;-9,53%
01.04.2019;10699.5;10768 .6;11130 .8;10624 .3;;0,18%
01.03.2019;10679.9;10.598,00;10970 .1;10220 .5;;1,13%
01.02.2019;10560.8;10.433,00;10767 .5;10113 .6;;2,02%
01.01.2019;10351.4;9221 .3;10414 .3;9.177,00;;10,81%
01.12.2018;9341.4;10724 .9;10797 .7;8737 .2;;-10,85%
01.11.2018;10478.3;10915 .6;11.327,00;10154 .9;;-4,01%
01.10.2018;10915.6;12246 .3;12477 .1;10488 .7;;-10,31%
01.09.2018;12169.7;11842 .7;12365 .6;11357 .2;;2,81%
01.08.2018;11837.2;12180 .9;12230 .7;11349 .7;;-3,63%
01.07.2018;12282.5;12028 .8;12517 .3;11856 .9;;1,24%
01.06.2018;12131.5;12115 .5;12264 .7;11633 .5;;0,62%
01.05.2018;12056.6;11834 .3;12.701,00;11687 .4;;1,50%
01.04.2018;11878.3;10831 .7;11993 .8;10.496,00;;9,34%
01.03.2018;10863.3;10616 .6;11020 .8;10452 .7;;2,23%
01.02.2018;10625.8;11848 .3;11.942,00;10248 .5;;-10,28%
01.01.2018;11843.9;11508 .8;12373 .4;11508 .8;;3,25%
01.12.2017;11470.6;11051 .7;11529 .2;10.851,00;;4,33%
01.11.2017;10994.3;10938 .6;11286 .2;10673 .8;;0,96%
01.10.2017;10889.7;10911 .6;10959 .2;10572 .2;;-0,20%
01.09.2017;10911.6;9.984,00;10961 .3;9.961,00;;9,35%
01.08.2017;9978.3;10.446,00;10501 .7;9.764,00;;-4,21%
01.07.2017;10416.4;10123 .3;10474 .2;9834 .6;;3,30%
01.06.2017;10083.4;10243 .2;10448 .4;9868 .3;;-1,49%
01.05.2017;10236;10518 .7;10768 .9;10182 .3;;-2,72%
01.04.2017;10521.7;10834 .1;11059 .1;10413 .6;;-2,88%
01.03.2017;10834.1;10.936,00;11072 .5;10468 .3;;-0,19%
01.02.2017;10854.8;11252 .4;11343 .7;10771 .2;;-3,11%
01.01.2017;11203;11648 .3;11738 .3;11120 .3;;-2,61%
01.12.2016;11503.8;11395 .7;16593 .7;11215 .5;;2,57%
01.11.2016;11215.5;10644 .3;11.302,00;10316 .6;;6,40%
01.10.2016;10541.1;10787 .8;11.086,00;10529 .5;;-2,29%
01.09.2016;10787.8;10437 .7;10973 .2;10092 .6;;2,94%
01.08.2016;10480.1;10352 .2;10.888,00;10031 .5;;0,10%
01.07.2016;10470.1;10711 .4;10963 .6;10238 .7;;-2,22%
01.06.2016;10707.3;10161 .7;10863 .9;9986 .3;;4,28%
01.05.2016;10267.7;10579 .3;10.610,00;9897 .4;;-3,15%
01.04.2016;10602;9499 .7;10783 .8;9324 .1;;9,51%
01.03.2016;9681.2;8916 .3;9984 .4;8840 .8;;9,42%
01.02.2016;8847.7;8884 .3;9072 .8;8123 .4;;-2,04%
01.01.2016;9032.2;9278 .5;9373 .4;7.688,00;;-3,33%
01.12.2015;9343.8;10411 .9;10.484,00;9039 .7;;-10,11%
01.11.2015;10394.6;10532 .3;11148 .5;9993 .3;;-1,72%
01.10.2015;10576.4;9626 .4;10936 .9;9450 .3;;11,48%
01.09.2015;9487.4;10304 .5;10304 .5;9212 .3;;-7,93%
01.08.2015;10304.5;10813 .7;11029 .1;9158 .9;;-5,35%
01.07.2015;10886.7;11777 .3;11782 .2;10601 .3;;-7,57%
01.06.2015;11778.4;12248 .3;12370 .4;11704 .3;;-3,88%
01.05.2015;12254.1;13025 .7;13186 .9;12188 .5;;-5,99%
01.04.2015;13035.5;12111 .1;13111 .5;12034 .8;;8,39%
01.03.2015;12026.1;12386 .9;12410 .8;11428 .7;;-3,29%
01.02.2015;12435.8;12082 .8;12949 .6;12055 .1;;4,20%
